"name","birthDate","birthPlace","height","weight","startYear","endYear","leagues","positions","teams","awards"
"Ergin Ataman",1966-01-07,"Istanbul",,,1984-01-01,1996-01-01,"Basketbol Süper Ligi","Head coach","Anadolu Efes S.K.","2008–09 Turkish Basketball League, 2011–12 Turkish Basketball Cup, 2011–12 Turkish Basketball League, 2018 Turkish Basketball Cup, 2018 Turkish Basketball Presidential Cup, 2018–19 Basketbol Süper Ligi, 2019 Turkish Basketball Presidential Cup, 2020–21 Basketbol Süper Ligi, 2022 Turkish Basketball Cup, Alexander Gomelsky EuroLeague Coach of the Year, Turkish Basketball Cup, Turkish Basketball Presidential Cup"
"Walter De Raffaele",1968-10-31,"Italy",,,1987-01-01,1997-01-01,"Lega Basket","Point guard","Reyer Venezia","FIBA Europe Cup"
"Emma Meesseman",1993-05-13,"West Flanders",1.9304,86637.6,2009-01-01,,"Women's National Basketball Association","Power forward (basketball)","Chicago Sky","2017–18 EuroLeague Women, 2018–19 EuroLeague Women, 2020–21 EuroLeague Women, EuroLeague Women, FIBA Europe Young Women's Player of the Year Award, FIBA U18 Women's European Championship, Russian Women's Basketball Premier League, WNBA All-Star Game, WNBA Finals, WNBA Finals Most Valuable Player Award"
"Alex King (basketball)",1985-02-20,"West Germany",2.0066,99792.0,2002-01-01,,"Basketball Bundesliga","Power forward (basketball), Small forward","S.Oliver Würzburg","2016 BBL-Pokal, BBL All-Star Game, BBL-Pokal, Basketball Bundesliga"
"Wendell Carter Jr.",1999-04-16,"Atlanta",2.0828,122472.0,2018-01-01,,"National Basketball Association","Center (basketball), Power forward (basketball)","Orlando Magic","Atlantic Coast Conference, List of All-Atlantic Coast Conference men's basketball teams, McDonald's All-American Game"
"Al Horford",1986-06-03,"Puerto Plata, Dominican Republic",2.0574,108864.0,2007-01-01,,"National Basketball Association","Power forward (basketball)","Boston Celtics","2007 NCAA Division I Men's Basketball Tournament, All-NBA Team, Associated Press, List of NBA All-Stars, List of NCAA Division I men's basketball champions, NBA All-Defensive Team, NBA All-Rookie Team, NCAA Men's Basketball All-Americans, SEC Men's Basketball Tournament"
"Assem Marei",1992-06-16,"Egypt men's national basketball team",2.0574,113400.0,2015-01-01,,"Korean Basketball League","Center (basketball)","Changwon LG Sakers","BBL All-Star Game, Baltic Basketball League, FIBA Europe Cup, Lietuvos krepšinio lyga"
"Quincy Acy",1990-10-06,"Tyler, Texas",2.0066,108864.0,2012-01-01,,"EuroLeague, Greek Basket League","Center (basketball), Power forward (basketball)","Olympiacos B.C.","Big 12 Conference, Greek Basketball Cup, Israeli Basketball Premier League"
"Alex Tyus",1988-01-08,"St. Louis",2.032,99792.0,2011-01-01,,"Basketbol Süper Ligi","Center (basketball), Power forward (basketball)","Karşıyaka Basket","2017 Israeli Basketball League Cup, 2017–18 Israeli Basketball Premier League, 2018–19 Israeli Basketball Premier League, Israeli Basketball League Cup, Israeli Basketball Premier League, Israeli Basketball Premier League Finals MVP, Israeli Basketball Premier League Quintet, Israeli Basketball Premier League Sixth Man of the Year, Israeli Basketball State Cup, Italian Basketball Supercup, Rosters of the champion and finalist teams of EuroLeague, Turkish Basketball Presidential Cup"
"Przemek Karnowski",1993-11-08,"Bydgoszcz",2.159,129276.0,2009-01-01,,"Polish Basketball League, VTB United League","Center (basketball)","Zastal Zielona Góra","Kareem Abdul-Jabbar Award, PLK Rookie of the Year, West Coast Conference"
"Aldrech Ramos",1988-04-03,"Cebu City",1.9812,86184.0,2012-01-01,,"Philippine Basketball Association","Power forward (basketball)","Terrafirma Dyip","2018 PBA Governors' Cup Finals, List of Philippine Basketball Association champions, Philippine Basketball Association All-Star Game, UAAP Season 74, University Athletic Association of the Philippines"
"Alec Brown",1992-07-23,"Winona, Minnesota",2.159,104782.0,2015-01-01,,"Ukrainian Basketball SuperLeague","Center (basketball), Power forward (basketball)","BC Budivelnyk","Horizon League"
"Moritz Wagner (basketball)",1997-04-26,"Berlin",2.1082,111132.0,2014-01-01,,"National Basketball Association","Center (basketball), Power forward (basketball)","Orlando Magic","Big Ten Conference, Big Ten Men's Basketball Tournament"
"Donatas Motiejūnas",1990-09-20,"Kaunas",2.1336,100699.0,2005-01-01,,"EuroLeague, LNB Pro A","Center (basketball), Power forward (basketball)","AS Monaco Basket","Baltic Basketball League, Chinese Basketball Association, EuroCup Basketball Rising Star, Euroleague Basketball Next Generation Tournament, FIBA U18 European Championship, LKF Cup, LKL All-Star Game, Lietuvos krepšinio lyga, National Basketball League (Lithuania), Polish Basketball League"
"Đorđe Kaplanović",1995-03-21,"Serbia and Montenegro",,102000.0,2013-01-01,,"Macedonian First League (basketball)","Center (basketball)","KK Kumanovo","Basketball League of Serbia, Radivoj Korać Cup"
"Đorđe Kaplanović",1995-03-21,"Podgorica",,102000.0,2013-01-01,,"Macedonian First League (basketball)","Center (basketball)","KK Kumanovo","Basketball League of Serbia, Radivoj Korać Cup"
"Alex Simmons",1986-07-07,"Fort Polk South, Louisiana",1.905,,,,"Big South Conference","Center (basketball)","Gardner–Webb Runnin' Bulldogs women's basketball","NCAA Division I Women's Basketball Tournament"
"Aaron Henry (basketball)",1999-08-30,"Louisville, Kentucky",1.9812,95256.0,2021-01-01,,"NBA G League","Small forward","Delaware Blue Coats","Big Ten Conference"
"Baden Jaxen",1990-10-01,"Newark, New Jersey",1.905,82101.6,2013-01-01,,"Ukrainian Basketball SuperLeague","Point guard, Shooting guard","BC Odessa","Cyprus Basketball Division A, McDonald's All-American Game, Parade All-America Boys Basketball Team"
"Eric Bledsoe",1989-12-09,"Birmingham, Alabama",1.8542,97070.4,2010-01-01,,"National Basketball Association","Point guard","Portland Trail Blazers","NBA All-Defensive Team, NBA All-Rookie Team, Southeastern Conference"
"Sadiel Rojas",1989-07-16,"Fort Worth, Texas",1.9304,86184.0,2011-01-01,,"Liga ACB","Shooting guard, Small forward","UCAM Murcia CB","NABC Player of the Year"
"Engin Atsür",1984-04-02,"Istanbul",1.9304,86184.0,2000-01-01,,"Basketball Champions League, Lega Basket","Point guard","Orlandina Basket","Basketbol Süper Ligi, Turkish Basketball Cup"
"Scotty Hopson",1989-08-08,"Hopkinsville, Kentucky",2.0066,92534.4,2011-01-01,,"NBA G League","Shooting guard, Small forward","Oklahoma City Blue","All-NBL Team, List of NBL champions, McDonald's All-American Game, Parade All-America Boys Basketball Team, Southeastern Conference"
"Alex Renfroe",1986-05-23,"Hermitage, Tennessee",1.905,77112.0,2009-01-01,,"Liga ACB","Point guard, Shooting guard","CB San Pablo Burgos","ASUN Conference, ASUN Conference Men's Basketball Player of the Year, All-Basketball Bundesliga Team, Associated Press, BBL All-Star Game, Baltic Basketball League, Basketball Bundesliga, Basketball Champions League, HT Premijer liga, Krešimir Ćosić Cup, Radivoj Korać Cup, Radivoj Korać Cup MVP Award"
"Wani Swaka Lo Buluk",2001-06-09,"Sudan",,88000.0,2017-01-01,,"National Basketball League (Australia)","Small forward","Sydney Kings","2020 MSBL season"
"Drew Crawford",1990-10-18,"Naperville, Illinois",,95000.0,2014-01-01,,"EuroCup Basketball, Liga ACB","Small forward","BC Andorra","2009–10 Big Ten Conference men's basketball season, 2012 NCAA Men's Basketball All-Americans, 2013–14 Big Ten Conference men's basketball season, Academic All-America, Big Ten Conference"
"Đorđe Kaplanović",1995-03-21,"Podgorica",,102000.0,2013-01-01,,"Macedonian First League (basketball)","Power forward (basketball)","KK Kumanovo","ABA League, Basketball League of Serbia, Radivoj Korać Cup"
"Awudu Abass",1993-01-27,"Como",,100000.0,2010-01-01,,"Lega Basket","Small forward","Virtus Bologna","Italian Basketball Supercup, Lega Basket"
"Dominic Gilbert",1996-09-28,"Hong Kong",,98000.0,2016-01-01,,"Liga Española de Baloncesto","Basketball positions","CB Ciudad de Valladolid","Krešimir Ćosić Cup"
"Đorđe Drenovac",1992-08-09,"Republic of Serbia (1992–2006)",,97000.0,2007-01-01,,"Nemzeti Bajnokság I/A (men's basketball)","Small forward","Debreceni EAC (basketball)","2016–17 Macedonian First League (basketball) season, Basketball Championship of Bosnia and Herzegovina"
"Sead Šehović",1989-08-22,"Socialist Federal Republic of Yugoslavia",,95000.0,2006-01-01,,"ABA League","Small forward","KK Mornar Bar","2015–16 Prva A liga, 2016–17 Prva A liga, ABA League, Montenegrin Basketball Cup"
"Dušan Đorđević",1983-03-29,"Socialist Republic of Serbia",,96000.0,2001-01-01,,"Pro Basketball League","Point guard","B.C. Oostende","2014–15 Basketball League Belgium Division I, 2016–17 Belgian Basketball Cup, 2017–18 Belgian Basketball Cup, BNXT Supercup, Belgian Basketball Cup MVP, Pro Basketball League, Pro Basketball League MVP, Pro Basketball League Star of the Coaches"
"Aaron Doornekamp",1985-12-05,"Greater Napanee",,96000.0,2009-01-01,,"Liga ACB","Power forward (basketball)","CB 1939 Canarias","Basketball Champions League, EuroCup Basketball, Supercopa de España de Baloncesto"
"Aaron Doornekamp",1985-12-05,"Greater Napanee",,96000.0,2009-01-01,,"Basketball Champions League, Liga ACB","Power forward (basketball), Small forward","CB 1939 Canarias","Basketball Champions League, Basketball Champions League Star Lineup, EuroCup Basketball, FIBA Europe Cup, Supercopa de España de Baloncesto"
"Emoni Bates",2004-01-28,"Ypsilanti, Michigan",2.0574,86184.0,,,"American Athletic Conference","Small forward","Memphis Tigers men's basketball","Gatorade Player of the Year awards"
"Emily Engstler",2000-05-01,"Queens",1.8542,,,,"Atlantic Coast Conference","Small forward","Louisville Cardinals women's basketball","Atlantic Coast Conference, McDonald's All-American Game"
"Ettore Messina",1959-09-30,"Italy men's national basketball team",,,,,"EuroLeague","Head coach","Olimpia Milano","Italian Basketball Hall of Fame"
"Dragan Nikolić (coach)",1972-02-20,"Socialist Federal Republic of Yugoslavia",,,,,"Basketball Championship of Bosnia and Herzegovina","Coach (basketball)","OKK Borac","Basketball Cup of Serbia"
"Aleksandar Džikić",1971-03-23,"Socialist Republic of Serbia",,,,,"ABA League","Coach (basketball)","KK Budućnost","FIBA EuroChallenge"
"Quade Green",1998-05-12,"Philadelphia",1.8288,77112.0,2021-01-01,,"NBA G League","Point guard","Grand Rapids Gold","Jordan Brand Classic, McDonald's All-American Game, Nike Hoop Summit"
"Sean Kilpatrick",1990-01-06,"Yonkers, New York",1.9304,96163.2,2014-01-01,,"Israeli Basketball Premier League","Shooting guard","Hapoel Jerusalem B.C.","All-NBA G League Team, American Athletic Conference, Greek Basket League, Greek Basketball Cup, List of All-Big East Conference men's basketball teams, NBA Development League All-Star Game, NCAA Men's Basketball All-Americans"
"Duncan Robinson (basketball)",1994-04-22,"York, Maine",2.0066,97524.0,2018-01-01,,"National Basketball Association","Shooting guard","Miami Heat","All-NBA G League Team, Big Ten Conference"
"Žygimantas Janavičius",1989-02-20,"Lithuanian Soviet Socialist Republic",1.9304,84823.2,2005-01-01,,"Lietuvos krepšinio lyga","Point guard","BC Neptūnas","Karaliaus Mindaugo taurė, Lietuvos krepšinio lyga, National Basketball League (Lithuania)"
"Moses Moody",2002-05-31,"Little Rock, Arkansas",1.9558,95709.6,2021-01-01,,"National Basketball Association","Shooting guard","Golden State Warriors","Associated Press, Southeastern Conference, Southeastern Conference Men's Basketball Rookie of the Year"
"Šarūnas Vasiliauskas",1989-03-27,"Kaunas",1.8796,78019.2,2008-01-01,,"Liga Națională (men's basketball)","Point guard","CSO Voluntari","Basketbol Süper Ligi, Polish Basketball Supercup"
"Abdoulaye N'Doye",1998-03-09,"Dunkirk",1.9558,93000.0,2016-01-01,,"LNB Pro A","Shooting guard","BCM Gravelines-Dunkerque","EuroCup Basketball"
"Wani Swaka Lo Buluk",2001-06-09,"Sudan",1.9558,88000.0,2017-01-01,,"National Basketball League (Australia)","Shooting guard","Sydney Kings","2020 MSBL season"
"Alen Hodžić",1992-08-11,"Koper",1.905,82000.0,2008-01-01,,"ABA League, EuroCup Basketball","Shooting guard","KK Cedevita Olimpija","2020–21 Slovenian Basketball League, ABA League Second Division, Premier A Slovenian Basketball League, Slovenian Basketball Cup"
"Sead Šehović",1989-08-22,"Bijelo Polje",1.9304,95000.0,2006-01-01,,"ABA League, Prva A Liga","Shooting guard","KK Mornar Bar","2015–16 Prva A liga, ABA League, Montenegrin Basketball Cup, North Macedonian Basketball Cup"
"Predrag Miletić (basketball)",1984-08-17,"Kraljevo",0.0,87091.2,2006-01-01,,"Austrian Basketball Bundesliga","Shooting guard","Klosterneuburg Dukes","ÖBL Most Valuable Player"
"Alfonso Plummer",1997-09-04,"Fajardo, Puerto Rico",1.8542,81648.0,,,"Big Ten Conference","Shooting guard","Illinois Fighting Illini men's basketball","National Junior College Athletic Association"
"Alina Iagupova",1992-02-09,"Ukraine",1.8542,86184.0,,,"Women's Basketball Super League","Shooting guard","Fenerbahçe S.K. (women's basketball)","2020–21 EuroLeague Women, EuroLeague Women"
"Alina Iagupova",1992-02-09,"Ukraine",1.8542,68040.0,,,"EuroLeague Women","Shooting guard","Fenerbahçe S.K. (women's basketball)","Turkish Women's Basketball Presidential Cup, Women's Basketball Super League"
"Saah Nimley",1993-06-03,"Monrovia",2.0574,71668.8,2015-01-01,2019-01-01,"Big South Conference","Basketball positions","Charleston Southern Buccaneers men's basketball","Big South Conference Men's Basketball Player of the Year"
"Željko Pavličević",1951-03-26,"Socialist Republic of Croatia",1.8796,97524.0,1969-01-01,1975-01-01,"Hong Kong A1 Division Championship","Coach (basketball)","Eastern Sports Club (basketball)","Greek Basketball Cup"
"Scott Suggs",1989-11-10,"Washington, Missouri",1.9812,88452.0,2013-01-01,,"Swiss Basketball League","Shooting guard, Small forward","Lions de Genève","Jason Collier Sportsmanship Award, Mr. Show-Me Basketball, NBA Development League All-Star Game"
"Alfonzo Gotladera",1992-02-16,"San Juan, Metro Manila",1.9558,108864.0,2016-01-01,,"Philippine Basketball Association","Center (basketball), Power forward (basketball)","San Miguel Beermen","Philippine Basketball Association All-Star Game"
"Will Magnay",1998-06-10,"Brisbane",2.0828,106142.0,2017-01-01,,"National Basketball League (Australia)","Center (basketball), Power forward (basketball)","Tasmania JackJumpers","NBL Most Improved Player Award, NBL1 North"
"A. J. English (basketball, born 1992)",1992-07-10,"Wilmington, Delaware",1.905,82555.2,2016-01-01,,"Basketball Bundesliga","Point guard","Mitteldeutscher BC","Metro Atlantic Athletic Conference"
"Dmitry Kulagin",1992-07-01,"Moscow",2.032,89000.0,2009-01-01,,"VTB United League","Point guard","BC Zenit Saint Petersburg","VTB United League Young Player of the Year"
"Dominic Gilbert",1996-09-28,"Hong Kong",2.0066,98000.0,2016-01-01,,"Liga Española de Baloncesto","Basketball positions","CB Ciudad de Valladolid","HT Premijer liga"
"Dušan Ristić",1995-11-27,"Novi Sad",,112000.0,2012-01-01,,"Liga ACB","Center (basketball)","Baloncesto Fuenlabrada","List of All-Pac-12 Conference men's basketball teams"
"Predrag Samardžiski",1986-04-11,"Socialist Republic of Macedonia",,124740.0,2004-01-01,,"Macedonian First League (basketball)","Center (basketball)","KK EuroNickel 2005","Macedonian First League (basketball)"
"Aleksandar Kostoski",1988-03-05,"Skopje",,,2006-01-01,,"Macedonian First League (basketball)","Point guard","KK TFT","North Macedonian Basketball Cup"
"Aleksandar Kostoski",1988-03-05,"Skopje",,,2006-01-01,,"Macedonian First League (basketball)","Point guard","KK TFT","Macedonian First League (basketball)"
"Ettore Messina",1959-09-30,"Italy men's national basketball team",,,,,"Lega Basket","Head coach","Olimpia Milano","NBA All-Star Game"
"Emanuele Molin",1960-02-12,"Mestre",,,,,"Lega Basket","Coach (basketball)","Aquila Basket Trento","Russian Professional Basketball Championship"
"Donovan Mitchell",1996-09-07,"Elmsford, New York",1.8542,97524.0,2017-01-01,,"National Basketball Association","Shooting guard","Utah Jazz","List of All-Atlantic Coast Conference men's basketball teams, List of NBA All-Stars, NBA All-Rookie Team, Slam Dunk Contest"
"Dmitry Kulagin",1992-07-01,"Moscow",,89000.0,2009-01-01,,"VTB United League","Shooting guard","BC Zenit Saint Petersburg","Rosters of the champion and finalist teams of EuroLeague, VTB United League Young Player of the Year"
"Þórir Þorbjarnarson",1998-05-26,"Akureyri",,91500.0,2014-01-01,,"Dutch Basketball League","Shooting guard","Landstede Hammers","Icelandic Men's Basketball Cup"
"Scott Machado",1990-06-08,"Queens",,93000.0,2012-01-01,,"National Basketball League (Australia)","Point guard","Cairns Taipans","List of NCAA Division I men's basketball season assists leaders, Metro Atlantic Athletic Conference, NBL Fans MVP Award"
"Drew Crawford",1990-10-18,"Naperville, Illinois",,95000.0,2014-01-01,,"EuroCup Basketball, Liga ACB","Shooting guard","BC Andorra","LBA Most Valuable Player"
"Alexey Shved",1988-12-16,"Russian Soviet Federative Socialist Republic",,86000.0,2006-01-01,,"EuroLeague","Shooting guard","PBC CSKA Moscow","All-EuroLeague Team, VTB United League MVP"
"Alexey Shved",1988-12-16,"Belgorod",,86000.0,2006-01-01,,"VTB United League","Shooting guard","PBC CSKA Moscow","All-EuroLeague Team"
"Alexey Shved",1988-12-16,"Belgorod",,86000.0,2006-01-01,,"VTB United League","Shooting guard","PBC CSKA Moscow","Russian Gold Basket Awards, Russian Professional Basketball League Awards"
"Alen Hodžić",1992-08-11,"Slovenia",,82000.0,2008-01-01,,"ABA League","Shooting guard","KK Cedevita Olimpija","Slovenian Basketball Supercup"
"Leandro Barbosa",1982-11-28,"São Paulo",1.905,87998.4,1999-01-01,2019-01-01,"National Basketball Association","Point guard, Shooting guard","Golden State Warriors","Campeonato Brasileiro de Basquete, Campeonato Carioca Estadual de Basquete, FIBA AmeriCup Top Scorer, List of NBA champions, NBA Sixth Man of the Year Award"
"Borgie Hermida",1988-10-27,"Philippines",1.7272,72576.0,2010-01-01,2016-01-01,"Philippine Basketball Association","Coach (sport), Point guard","NLEX Road Warriors (PBA D-League)","NCAA Season 86, National Collegiate Athletic Association (Philippines)"
"Garrett Jackson",1991-10-27,"Portland, Oregon",2.0066,97524.0,2015-01-01,2018-01-01,"National Basketball Association","Power forward (basketball), Small forward","Boston Celtics","South East Australian Basketball League"
"Bobby Hurley",1971-06-28,"Jersey City, New Jersey",1.8288,74844.0,1993-01-01,1998-01-01,"Pac-12 Conference men's basketball","Head coach, Point guard","Arizona State Sun Devils men's basketball","1992 NCAA Division I Men's Basketball Tournament, Associated Press, Duke Blue Devils men's basketball, List of All-Atlantic Coast Conference men's basketball teams, List of NCAA Division I men's basketball champions, McDonald's All-American Game, Mid-American Conference, Mid-American Conference Men's Basketball Tournament, NCAA Basketball Tournament Most Outstanding Player, NCAA Men's Basketball All-Americans, Parade All-America Boys Basketball Team, United Press International"
"Li Chunjiang",1963-03-11,"Shenyang",1.905,84823.2,1977-01-01,1998-01-01,"Chinese Basketball Association","Head coach, Power forward (basketball)","Shanghai Sharks","1991 ABC Championship, 2004–05 Chinese Basketball Association season, 2005–06 Chinese Basketball Association season, 2007–08 Chinese Basketball Association season, 2008–09 Chinese Basketball Association season, 2009–10 Chinese Basketball Association season, 2010–11 Chinese Basketball Association season, Basketball at the 1990 Asian Games, List of Continental Basketball Association champions"
"DeLisha Milton-Jones",1974-09-11,"Riceboro, Georgia",1.8542,83916.0,1999-01-01,2015-01-01,"Conference USA","Head coach, Power forward (basketball), Small forward","Old Dominion Lady Monarchs basketball","2002 WNBA Finals, 2007 WNBA All-Star Game, All-America, Honda Sports Award (basketball), Southeastern Conference, Southeastern Conference Women's Basketball Player of the Year, The Game at Radio City, WNBA All-Star Game, WNBA Finals, Wade Trophy"
"Ainars Bagatskis",1967-03-29,"Riga",1.9812,87998.4,1985-01-01,2006-01-01,"Ukrainian Basketball SuperLeague","Coach (basketball), Small forward","Kyiv-Basket","BLNO, Baltic Basketball League, Israeli Basketball State Cup, LKL Three-point Shootout, Latvijas Basketbola līga, Lietuvos krepšinio lyga, Ukrainian Basketball SuperLeague"
"Boštjan Nachbar",1980-07-03,"Slovenj Gradec",2.0574,100246.0,1997-01-01,2017-01-01,"National Basketball Association","Power forward (basketball), Small forward","Detroit Pistons","BBL All-Star Game, BBL Champions Cup, Basketball Bundesliga, Basketbol Süper Ligi, EuroCup Basketball All-EuroCup Team, Italian Basketball Supercup, Liga ACB, Nike Hoop Summit, Premier A Slovenian Basketball League, Slovenian Basketball Cup, Supercopa de España de Baloncesto, Turkish Basketball Presidential Cup"
"Blerim Mazreku",1981-10-24,"Socialist Federal Republic of Yugoslavia",2.0574,105689.0,2001-01-01,2015-01-01,"Kosovo Basketball Superleague","Center (basketball), Power forward (basketball)","KB Prishtina","Balkan League, Kosovo Basketball Superleague, Kosovo Cup (basketball)"
"Branislav Ratkovica",1985-07-27,"Socialist Federal Republic of Yugoslavia",,82000.0,2002-01-01,2019-01-01,"Basketball League of Serbia","Coach (basketball), Point guard","KK Metalac Valjevo","Basketball Bundesliga, Basketball League of Serbia, National Basketball League (Bulgaria)"
"Branko Milisavljević",1976-07-21,"Socialist Federal Republic of Yugoslavia",,84000.0,1996-01-01,2014-01-01,"ABA League Second Division, Prva A Liga","Point guard","KK Podgorica","First Federal Basketball League"
"Leo Austria",1958-03-14,"Sariaya",1.778,,1985-01-01,1993-01-01,"Philippine Basketball Association","Coach (sport)","San Miguel Beermen","2015 PBA Governors' Cup, 2015–16 PBA Philippine Cup, 2016–17 PBA Philippine Cup, 2017 PBA Commissioner's Cup, 2017–18 PBA Philippine Cup, 2019 PBA Commissioner's Cup Finals, 2019 PBA Philippine Cup Finals, Baby Dalupan PBA Coach of the Year Award, Philippine Basketball Association, Philippine Basketball League"
"Leo Austria",1958-03-14,"Philippines",1.778,,1985-01-01,1993-01-01,"Philippine Basketball Association","Coach (sport)","San Miguel Beermen","ASEAN Basketball League"
"Boyet Fernandez",1971-07-30,"Bacolod",,,1993-01-01,2004-01-01,"National Collegiate Athletic Association (Philippines)","Head coach","San Beda Red Lions","NCAA Season 93, National Collegiate Athletic Association (Philippines)"
"Dejan Radonjić",1970-02-02,"Podgorica",,,1990-01-01,2004-01-01,"ABA League","Point guard","KK Crvena zvezda","2014–15 ABA League, 2014–15 Radivoj Korać Cup, 2016–17 Radivoj Korać Cup, 2018–19 Basketball Bundesliga, 2020–21 ABA League First Division, 2020–21 Basketball League of Serbia, ABA League Coach of the Season, Basketball Bundesliga, Basketball League of Serbia, Montenegrin Basketball Cup, Prva A Liga, Radivoj Korać Cup, YUBA League, Yugoslav Basketball Cup"
"Hans Thiele",1984-02-02,"Boracay",1.9558,90720.0,2010-01-01,,"Maharlika Pilipinas Basketball League","Center (basketball), Power forward (basketball)","Zamboanga Family's Brand Sardines","ASEAN Basketball League"
"Devon Scott (basketball)",1994-04-07,"Columbus, Ohio",2.0574,102060.0,2016-01-01,,"Korean Basketball League","Center (basketball), Power forward (basketball)","Daegu KOGAS Pegasus","Novo Basquete Brasil awards"
"Devin Searcy",1989-08-25,"Romulus, Michigan",2.0828,104328.0,2011-01-01,,"ProA","Power forward (basketball)","SC Rasta Vechta","Cypriot Basketball Cup, Cypriot Basketball Super Cup, Cyprus Basketball Division A"
"Gary Clark (basketball)",1994-11-16,"Smithfield, North Carolina",1.9812,102060.0,2018-01-01,,"National Basketball Association","Power forward (basketball)","New Orleans Pelicans","American Athletic Conference, American Athletic Conference Men's Basketball Player of the Year, American Athletic Conference Men's Basketball Tournament, List of NBA G League champions"
"Bol Bol",1999-11-16,"Khartoum",2.1844,99792.0,2019-01-01,,"National Basketball Association","Center (basketball)","Orlando Magic","McDonald's All-American Game"
"Strahinja Mićović",1992-06-17,"Serbia and Montenegro",,105000.0,2011-01-01,,"ABA League, Prva A Liga","Power forward (basketball)","KK Mornar Bar","Basketball Championship of Bosnia and Herzegovina, Mirza Delibašić Cup, Prva A Liga"
"Boriša Simanić",1998-03-20,"Ljubovija",,99000.0,2014-01-01,,"ABA League","Power forward (basketball)","KK Mega Basket","2018–19 ABA League First Division, 2018–19 Basketball League of Serbia, Basketball League of Serbia, Radivoj Korać Cup"
"Ebaku Akumenzoh",1989-03-07,"Buea",,99000.0,2013-01-01,,"Elite Messieurs","Power forward (basketball)","FAP Basketball","Elite Messieurs"
"Ty Walker (basketball)",1989-08-07,"Columbus, Ohio",,104000.0,2012-01-01,,"National Basketball League of Canada","Center (basketball)","KW Titans","2018–19 NBL Canada season"
"Dinos Mitoglou",1996-06-11,"Thessaloniki",,100000.0,2013-01-01,,"EuroLeague","Center (basketball), Power forward (basketball)","Olimpia Milano","2020–21 Greek Basketball Cup, Greek Basket League, Greek Basket League Pentad, Greek Basketball Cup"
"Dinos Mitoglou",1996-06-11,"Thessaloniki",,100000.0,2013-01-01,,"EuroLeague, Lega Basket","Center (basketball), Power forward (basketball)","Olimpia Milano","2020–21 Greek Basketball Cup, Greek Basket League Pentad, HEBA Greek All-Star Game"
"Adam Thoseby",1991-11-25,"Victoria (Australia)",,93000.0,2009-01-01,,"NBL1 West","Small forward","Perry Lakes Hawks","Peach Belt Conference"
"Tyler Stone (basketball)",1991-09-08,"Memphis, Tennessee",,104000.0,2014-01-01,,"LNB Pro A","Power forward (basketball)","BCM Gravelines-Dunkerque","Ohio Valley Conference"
"Lina Pikčiūtė",1990-11-17,"Klaipėda",,,2006-01-01,,"Úrvalsdeild kvenna (basketball)","Center (basketball)","Fjölnir women's basketball","Baltic Women's Basketball League, Damen-Basketball-Bundesliga, Lithuanian Basketball Federation, Lithuanian Women's Basketball League, Supercopa de España de Baloncesto Femenino"
"Bojan Bogdanović",1989-04-18,"Mostar",2.0066,102514.0,2004-01-01,,"National Basketball Association","Small forward","Utah Jazz","Basketbol Süper Ligi, HT Premijer liga, Krešimir Ćosić Cup, NBA All-Rookie Team, Turkish Basketball Cup, Turkish Basketball Presidential Cup"
"Tylor Ongwae",1991-07-15,"Eldoret",2.0066,92988.0,2015-01-01,,"Basketligaen","Small forward","Bakken Bears","Basketligaen, Basketligaen Defender of the Year, Danish Men's Basketball Cup"
"Garrett Williamson",1988-06-15,"Lower Merion Township, Pennsylvania",1.9558,92988.0,2010-01-01,,"National Basketball League of Canada","Shooting guard, Small forward","London Lightning","2009–10 Atlantic 10 Conference men's basketball season, 2017–18 NBL Canada season, All-NBL Canada Team, Atlantic 10 Conference, NBL Canada Canadian of the Year Award, National Basketball League of Canada"
"Dez Wells",1992-04-15,"Raleigh, North Carolina",1.9304,97524.0,2015-01-01,,"Chinese Basketball Association","Shooting guard, Small forward","Qingdao Eagles","Associated Press, Atlantic 10 Conference, Big Ten Conference, List of All-Atlantic Coast Conference men's basketball teams"
"Demitrius Conger",1990-05-29,"Brooklyn",1.9812,92988.0,2013-01-01,,"BNXT League, Basketball Champions League","Small forward","B.C. Oostende","All-NBL Team, Belgian Basketball Supercup"
"Edin Atić",1997-01-19,"Bugojno",2.0066,88452.0,2013-01-01,,"ABA League, EuroCup Basketball, Prva A Liga","Shooting guard, Small forward","KK Budućnost","Basketball Champions League, Greek Basketball Cup, Mirza Delibašić Cup, Montenegrin Basketball Cup"
"Li Gen (basketball)",1988-08-15,"Jiaozuo",2.0828,110225.0,2008-01-01,,"Chinese Basketball Association","Basketball positions","Beijing Royal Fighters","2011–12 Chinese Basketball Association season, 2014–15 Chinese Basketball Association season, Chinese Basketball Association"
"Deni Avdija",2001-01-03,"Beit Zera",2.0574,95256.0,2017-01-01,,"National Basketball Association","Small forward","Washington Wizards","EuroLeague Magic Moment of the Season, FIBA U20 European Championship, Israeli Basketball League Cup, Israeli Basketball Premier League, Israeli Basketball Premier League MVP, Israeli Basketball Premier League Quintet"
